合并站名,站组ID,原始分站名,站点ID,经度,纬度
七涌站,七涌,七涌站,BV10017249,113.548994,22.697116
七队站,七队,七队站,BV10015922,113.473107,22.828974
万信达,万信达,万信达,BV09313069,113.207567,23.42352
万信达公寓,万信达公寓,万信达公寓,BV10435948,113.12991,23.362054
万博中心,万博中心,万博中心站,BV11691212,113.337538,23.007046
万博中心总站,万博中心总,万博中心总站,BV10018514,113.338101,23.011801
万博翠湖花园,万博翠湖花园,万博翠湖花园,BV11688055,113.355079,22.981706
万和商场,万和商场,万和商场,BV10262817,113.645764,23.093365
万国园站,万国园,万国园站,BV10840062,113.535366,22.809542
万安工业区,万安工业区,万安工业区,BV10017997,113.339768,22.880483
万安村,万安村,万安村,BV10020151,113.339657,22.8775
万宝工业基地,万宝工业基地,万宝工业基地站,BV11689359,113.30368,22.996651
万寿路东,万寿路东,万寿路东,BV10021131,113.275376,23.105145
万寿路中,万寿路中,万寿路中,BV10021132,113.273483,23.105601
万寿路总站,万寿路总,万寿路总站,BV10021127,113.271354,23.106469
